,autor,edicao,link,resumo,tipo_trabalho,titulo
2114,"
								Clauber Scherer
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1432,"Este artigo compara a estrutura ocupacional das cidades do Brasil e dos Estados Unidos, visando avaliar a extensão em que a estrutura econômica dessas aglomerações urbanas se associa aos diferentes estágios de desenvolvimento, especificamente quando se compara um país rico com um em desenvolvimento. Utilizando um banco de dados ocupacionais harmonizado e microdados do Censo Demográfico Brasileiro de 2010 e do US American Community Survey (2008-2012), os resultados mostram que as cidades brasileiras têm uma conexão mais forte do tamanho da população com a estrutura ocupacional e a distribuição de capital humano do que a observada em cidades nos Estados Unidos. Estes resultados sugerem uma primazia mais forte das grandes cidades na rede urbana do Brasil e uma distribuição mais desigual da atividade econômica entre as cidades quando comparadas aos EUA, indicando uma alta correlação entre desenvolvimento e estrutura ocupacional.","
									Artigos originais
						","
		Estudo comparativo das estruturas ocupacionais urbanas: Brasil e Estados Unidos
	"
2115,"
								Pedro Vasconcelos Maia do Amaral
							",,,,,
2116,"
								David Folch
							",,,,,
2117,,,https://rebep.org.br/revista/article/view/1433,,,
2118,,,https://rebep.org.br/revista/article/view/1434,,,
2119,"
								Andrea Branco Simão
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1435,,"
									Resenha
						","
		Entre o ideal e o real: percepções e práticas acerca da divisão de atividades domésticas e de cuidados no Brasil
	"
2120,,,https://rebep.org.br/revista/article/view/1436,,,
2121,,,https://rebep.org.br/revista/article/view/1437,,,
2122,,,https://rebep.org.br/revista/article/view/1438,,,
2123,,,https://rebep.org.br/revista/article/view/1439,,,
2124,,,https://rebep.org.br/revista/article/view/1440,,,
2125,,,https://rebep.org.br/revista/article/view/1441,,,
2126,,,https://rebep.org.br/revista/article/view/1442,,,
2127,"
								Reinaldo Onofre Santos
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1443,"A migração é um evento demográfico altamente seletivo por idade e dependente entre gruposd e idade. A necessidade de se estimarem padrões de migração para regiões com informações incompletas ou como insumo para projeções demográficas motivou Andrei Rogers e seus colaboradores a desenvolverem o que ficou conhecido como modelo Rogers-Castro, ou funções modelo de migração. O objetivo desse artigo é fazer uma discussão e análise crítica do modelo e de seus limites e possibilidades de aplicação em estudos demográficos. Apesar de descrever razoavelmente bem o padrão migratório por idade, a dificuldade de estimação e a instabilidade dos parâmetros sempre foram obstáculos para a aplicação do modelo. Mesmo com essas limitações, suas vantagens analíticas e de projeção ainda não foram superadas, permanecendo","
									Artigos originais
						","
		Funções modelo de migração: limites e aplicações
	"
2128,"
								Alisson Flávio Barbieri
							",,,"como um bom preditor do padrão da função de migração em situações de dados escassos ou pouco confiáveis. Por fim, o modelo Rogers-Castro apresenta bom desempenho na descrição da migração interna em escala nacional do Censo Demográfico Brasileiro de 2010. Outros estudos em unidades territoriais menores ou ao longo do tempo, com fontes alternativas, são discutidos como potenciais de aplicação do modelo em estudos demográficos futuros no Brasil.",,
2129,,,https://rebep.org.br/revista/article/view/1444,,,
2130,,,https://rebep.org.br/revista/article/view/1445,,,
2131,,,https://rebep.org.br/revista/article/view/1446,,,
2132,,,https://rebep.org.br/revista/article/view/1447,,,
2133,,,https://rebep.org.br/revista/article/view/1448,,,
2134,,,https://rebep.org.br/revista/article/view/1449,,,
2135,"
								Pamila Cristina Lima Siviero
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1450,"O objetivo deste trabalho é analisar o diferencial de mortalidade por sexo no município de São Paulo, em 2005 e 2016, por meio de análises dos níveis e padrões do diferencial, além de examinar a contribuição dos diversos grupos etários e das principais causas de óbito. Os indicadores calculados foram o diferencial da esperança de vida ao nascer, a razão de sexo entre as taxas específicas de mortalidade e a contribuição dos grupos etários e das causas de morte para o diferencial. Os resultados evidenciam que o maior ganho dos homens em esperança de vida ao nascer contribuiu para a redução de 1,30 ano do diferencial entre os dois","
									Artigos originais
						","
		Diferenciais de mortalidade por sexo no município de São Paulo em 2005 e 2016: contribuição dos grupos etários e das principais causas de óbito
	"
2136,"
								Larissa  Gonçalves de Souza
							",,,"anos estudados. Ademais, apesar das elevadas razões de sexo entre as taxas específicas de mortalidade dos jovens, os idosos foram os que mais contribuíram para explicar a vantagem feminina na mortalidade. Por último, as doenças do aparelho circulatório, neoplasias e causas externas foram responsáveis pelas maiores contribuições para o diferencial. No entanto, a análise do padrão de causas de óbito em conjunto com o padrão etário mostra que, para os idosos, cuja participação é maior para o diferencial, as doenças do aparelho circulatório, neoplasias e doenças do aparelho respiratório foram mais decisivas na formação do diferencial.",,
2137,"
								Carla  Jorge Machado
							",,,,,
2138,,,https://rebep.org.br/revista/article/view/1451,,,
2139,,,https://rebep.org.br/revista/article/view/1452,,,
2140,,,https://rebep.org.br/revista/article/view/1453,,,
2141,,,https://rebep.org.br/revista/article/view/1454,,,
2142,,,https://rebep.org.br/revista/article/view/1455,,,
2143,,,https://rebep.org.br/revista/article/view/1456,,,
2144,,,https://rebep.org.br/revista/article/view/1457,,,
2145,"
								Monica Viegas Andrade
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1458,"O artigo avalia a linha de cuidado de uma coorte de 260 indivíduos com diabetes mellitus e 295 indivíduos com hipertensão arterial sistêmica antes, durante e após a implantação do Laboratório de Inovações na Atenção às Condições Crônicas (LIACC). Essa intervenção buscou fortalecer a atenção primária à saúde, implantando o modelo de atenção às condições crônicas no município de Santo Antônio do Monte, Minas Gerais, Brasil, entre 2013 e 2014. Trata-se de um estudo observacional longitudinal que utiliza informações clínicas e laboratoriais dos prontuários dos pacientes dessas duas condições crônicas entre 2012 e 2017. Os desfechos avaliados foram baseados nas linhas guias da Secretaria de Estado de Saúde de Minas Gerais.","
									Artigos originais
						","
		Análise da linha de cuidado para pacientes com diabetes mellitus e hipertensão arterial: a experiência de um município de pequeno porte no Brasil
	"
2146,"
								Kenya Noronha
							",,,"Os resultados evidenciam o LIACC associado à universalização de macroprocessos da atenção primária, como o cadastramento e a classificação do risco familiar. Para pacientes com diabetes houve melhora em diversos marcadores no período, como o aumento da realização de consulta (de 90% em 2012 para 92% em 2017) e diminuição dos pacientes com exames fora das faixas de normalidade. Já para indivíduos com hipertensão, mesmo sendo observado um crescimento acentuado da realização de consultas (de 80% em 2012 para 84% em 2017), as melhorias clínicas foram menos evidentes. Conclui-se que o LIACC se configura como uma promissora intervenção para a melhoria do manejo de pacientes com doenças crônicas na atenção primária à saúde.",,
2147,"
								Cláudia  Di Lorenzo Oliveira
							",,,,,
2148,"
								Clareci Silva Cardoso
							",,,,,
2149,"
								Júlia Almeida Calazans
							",,,,,
2150,"
								Nayara Abreu Julião
							",,,,,
2151,"
								Aline de Souza
							",,,,,
2152,"
								Patrícia  Aguiar Tavares
							",,,,,
2153,,,https://rebep.org.br/revista/article/view/1459,,,
2154,,,https://rebep.org.br/revista/article/view/1460,,,
2155,"
								Guilherme Quaresma Gonçalves
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1461,"A essência da transição da fecundidade consiste na mudança de um padrão de intensiva reprodução, quando muitas crianças nascem, mas muitas morrem, para uma reversão desse cenário, passando os nascimentos a serem planejados. Grande parte da literatura sobre a transição da fecundidade no Brasil indica que esse processo teria começado na segunda metade da década de 1960, caracterizando a transição brasileira como tardia e rápida. Apesar desse aparente consenso, o objetivo do presente estudo é indicar quando e onde começou a transição da fecundidade no Brasil, reestimando a transição da fecundidade regional do país. Aplica-se a técnica proposta por Frias e Oliveira, nos anos 1990, aos dados dos Censos Demográficos de 1940, 1950 e 1970 a 2010. Os resultados indicam que a transição da fecundidade já vinha em curso, em parte considerável do Brasil, desde o início da década de 1930, mais especificamente no Rio de Janeiro, em São Paulo e no extremo sul do país. Como consequência desse cenário heterogêneo, foram identificadas duas fases da transição da fecundidade. Na primeira, a transição foi lenta, similar ao modelo europeu, sendo precursores as regiões do Rio de Janeiro, São Paulo e o extremo sul. A segunda fase foi muito rápida, em consonância com a transição da fecundidade dos países retardatários no processo.","
									Artigos originais
						","
		A transição da fecundidade no Brasil ao longo do século XX – uma perspectiva regional
	"
2156,"
								José Alberto Magno de Carvalho
							",,,,,
2157,"
								Laura Lídia  Rodríguez Wong
							",,,,,
2158,"
								Cássio Maldonado Turra
							",,,,,
2159,"
								Larissa Giardini Simões
							","
				v. 36 (2019): Revista
			",https://rebep.org.br/revista/article/view/1462,"Essencialmente feminino, negro e pobre, o emprego doméstico é tratado diferentemente até mesmo pela legislação. Esse artigo tem o objetivo de identificar como o ciclo de vida, geração e outras características individuais da mulher, assim como fatores conjunturais, afetam a chance de estar e permanecer no emprego doméstico remunerado, no Brasil metropolitano em anos recentes. Dados da Pesquisa Mensal do Emprego, de 2002 a 2015, foram utilizados em uma modelagem log-linear de idade, período e coorte das frequências de transição e imobilidade de categorias de ocupação. A conjuntura tem o maior efeito, seguido de coorte. Essa é uma ocupação que está encolhendo e “envelhecendo”: menos jovens estão se tornando domésticas enquanto mulheres mais velhas ocupam cada vez mais espaço, combinando o adiamento da saída do mercado de trabalho com a menor mobilidade ocupacional em uma fase mais avançada da vida. Além disso, existe uma grande influência em ser negra na inserção/mobilidade ocupacional que está mudando entre as coortes. Entretanto, a diferença na probabilidade entre brancas e negras de trabalharem como domésticas permanece constante. Ainda, o emprego doméstico possui maior mobilidade do que os demais, indo contra a noção prévia de “armadilha da ocupação”, sendo a aparente mobilidade devida às características individuais das trabalhadoras.","
									Artigos originais
						","
		Padrões recentes de inserção e mobilidade no trabalho doméstico no Brasil metropolitano: descontinuidades e persistências
	"
